station_name,longitude,latitude
Franklin Avenue–Fulton Street station,-73.95583333333333,40.681111111111115
Franklin Avenue/Botanic Garden station,-73.95861111111111,40.67083333333333
Fulton Street station (IND Crosstown Line),-73.97638888888889,40.686944444444435
Gates Avenue station,-73.92194444444445,40.68944444444444
Graham Avenue station,-73.94444444444444,40.71444444444445
Grand Army Plaza station,-73.97055555555556,40.67472222222222
Grand Street station (BMT Canarsie Line),-73.94083333333333,40.71194444444445
Grant Avenue station (IND Fulton Street Line),-73.86555555555555,40.676666666666655
Greenpoint Avenue station,-73.95416666666667,40.73027777777778
Halsey Street station (BMT Canarsie Line),-73.905,40.696111111111115
Halsey Street station (BMT Jamaica Line),-73.91555555555556,40.685555555555545
Hewes Street station,-73.95305555555557,40.70666666666667
High Street station (IND Eighth Avenue Line),-73.98972222222223,40.69888888888889
Hoyt Street station,-73.985,40.69055555555556
Hoyt–Schermerhorn Streets station,-73.98614166666667,40.68902222222222
Jay Street–MetroTech station,-73.98723333333334,40.693680555555545
Jay Street–MetroTech station,-73.98723333333334,40.693680555555545
Jefferson Street station,-73.9236111111111,40.70694444444445
Junius Street station,-73.90138888888889,40.66361111111111
Kings Highway station (BMT Brighton Line),-73.95888888888891,40.60916666666667
Kings Highway station (IND Culver Line),-73.97234444444446,40.603186111111114
Kings Highway station (BMT Sea Beach Line),-73.98023055555555,40.603147222222226
Kingston Avenue station,-73.94222222222223,40.66944444444445
Kingston–Throop Avenues station,-73.94055555555556,40.67972222222222
Knickerbocker Avenue station,-73.91833333333334,40.69861111111111
Kosciuszko Street station,-73.92861111111111,40.69333333333333
Lafayette Avenue station (IND Fulton Street Line),-73.97444444444444,40.686388888888885
Liberty Avenue station,-73.89638888888891,40.67444444444444
Livonia Avenue station,-73.90055555555556,40.66361111111111
Metropolitan Avenue/Lorimer Street station,-73.9513888888889,40.71277777777778
Lorimer Street station (BMT Jamaica Line),-73.9477777777778,40.70416666666667
Marcy Avenue station,-73.95805555555556,40.708333333333336
Metropolitan Avenue/Lorimer Street station,-73.9513888888889,40.71277777777778
Montrose Avenue station,-73.94,40.7075
Morgan Avenue station,-73.93194444444445,40.70638888888889
Myrtle Avenue station (BMT Jamaica Line),-73.93527777777777,40.69694444444443
Myrtle–Willoughby Avenues station,-73.94916666666667,40.69472222222222
Myrtle–Wyckoff Avenues station,-73.91111111111111,40.69944444444444
Myrtle–Wyckoff Avenues station,-73.91111111111111,40.69944444444444
Nassau Avenue station,-73.95083333333334,40.7238888888889
Neck Road station,-73.95527777777778,40.595
Neptune Avenue station,-73.97456666666669,40.58039722222223
Nevins Street station,-73.98083333333334,40.688611111111115
New Lots Avenue station (BMT Canarsie Line),-73.89944444444446,40.65888888888889
New Lots Avenue station (IRT New Lots Line),-73.8825,40.66638888888889
62nd Street/New Utrecht Avenue station,-73.99777777777777,40.626111111111115
Newkirk Avenue station,-73.94833333333334,40.64
Norwood Avenue station,-73.87916666666666,40.681666666666665
Newkirk Plaza station,-73.96305555555556,40.63583333333333
Nostrand Avenue station (IRT Eastern Parkway Line),-73.95055555555554,40.66972222222222
Nostrand Avenue station (IND Fulton Street Line),-73.94972222222222,40.68055555555555
Ocean Parkway station,-73.96861111111113,40.576388888888886
Park Place station (BMT Franklin Avenue Line),-73.95777777777778,40.67444444444444
Parkside Avenue station,-73.96166666666667,40.65527777777777
Pennsylvania Avenue station (IRT New Lots Line),-73.89416666666669,40.66472222222223
President Street–Medgar Evers College station,-73.95055555555554,40.66805555555555
Prospect Avenue station (BMT Fourth Avenue Line),-73.99305555555556,40.665277777777774
Prospect Park station (BMT lines),-73.9625,40.66138888888889
Ralph Avenue station (IND Fulton Street Line),-73.92166666666667,40.678888888888885
Rockaway Avenue station (IND Fulton Street Line),-73.91083333333334,40.67833333333333
Rockaway Avenue station (IRT New Lots Line),-73.9088888888889,40.6625
Saratoga Avenue station (IRT New Lots Line),-73.91555555555556,40.661666666666655
Sheepshead Bay station,-73.95333333333333,40.587222222222216
Shepherd Avenue station,-73.88083333333333,40.674166666666665
Smith–Ninth Streets station,-73.99722222222222,40.67444444444444
Sterling Street station,-73.95083333333334,40.66305555555555
Sutter Avenue station,-73.90166666666667,40.66833333333333
Sutter Avenue–Rutland Road station,-73.92277777777778,40.665
Union Street station (BMT Fourth Avenue Line),-73.98305555555554,40.67722222222222
Utica Avenue station,-73.92916666666667,40.67916666666667
Van Siclen Avenue station (IND Fulton Street Line),-73.89027777777778,40.672777777777775
Van Siclen Avenue station (BMT Jamaica Line),-73.8916666666667,40.678055555555545
Van Siclen Avenue station (IRT New Lots Line),-73.88861111111113,40.665555555555564
West Eighth Street–New York Aquarium station,-73.9758,40.57617777777778
Wilson Avenue station,-73.90444444444445,40.688611111111115
Winthrop Street station,-73.9502777777778,40.656944444444434
York Street station (IND Sixth Avenue Line),-73.98666666666666,40.70166666666667
First Avenue station (BMT Canarsie Line),-73.9825,40.7313888888889
Second Avenue station,-73.99111111111111,40.72361111111111
Third Avenue station (BMT Canarsie Line),-73.98722222222223,40.73333333333333
Fifth Avenue/53rd Street station,-73.97555555555556,40.76027777777778
Fifth Avenue–59th Street station,-73.9725,40.764722222222225
42nd Street–Bryant Park/Fifth Avenue station,-73.98416666666667,40.75472222222222
14th Street/Sixth Avenue station,-73.99666666666667,40.73722222222222
Seventh Avenue station (IND lines),-73.98194444444445,40.763055555555546
14th Street/Eighth Avenue station,-74.0025,40.73972222222222
Eighth Street–New York University station,-73.9925,40.73055555555555
14th Street/Sixth Avenue station,-73.99666666666667,40.73722222222222
14th Street/Eighth Avenue station,-74.0025,40.73972222222222
14th Street/Sixth Avenue station,-73.99666666666667,40.73722222222222
14th Street–Union Square station,-73.99027777777778,40.73472222222223
